,a,mean_energy,mean_contrast,std_energy,std_contrast,median_energy,median_contrast,energy_snr,contrast_snr
0,3.0,0.2707862727801917,2.531904263932415,0.0355759667517763,0.0737623516192459,0.2766689703727016,2.5301042716708397,8.068694286311759,3.613013901138332
1,3.1,7.1286623763897605,1.0219365196072645,0.8519608435620736,0.0896956128454656,7.058369268288855,1.0390020198680825,5.22830641247737,7.90649934941905
2,3.2,26.37531120129027,0.5197986625477555,2.503866598530877,0.069368706552619,26.253332810228216,0.5413099367149823,6.138581216397307,10.20164032820932
3,3.3,55.19799413078003,0.3437224286024125,3.387851705409688,0.0550173848632009,55.39913231954464,0.3605244055003909,5.893182438077609,11.07863910543002
4,3.4,74.6256680899458,0.3291768886661761,5.09952535481374,0.0572988366821662,74.54920444420019,0.3457679523368187,6.27172182223164,11.064694605069963
5,3.5,81.53523532880997,0.3208321821516585,5.329631476140244,0.058499659616522,81.64465851643442,0.3394636061411724,6.672931238843491,11.065566204469729
6,3.6,48.192402570522646,0.3334423544693905,5.779832209714203,0.0570030605869424,49.10014125044739,0.347250561272465,9.306696781251045,10.7362276564824
7,3.7,54.85338585907171,0.3519348579085556,8.199971066568368,0.061863564549556,57.06800572633608,0.3672572475785164,10.300701074638924,11.22090858444734
8,4.1,19.20053746623732,0.5902704159541676,1.7597498280361872,0.0859486747290807,19.18438542925272,0.6205108893468778,4.976388692752649,9.56697861643169
9,4.1,70.45060765344056,0.3644440276866895,18.65660944173199,0.0624805243952157,77.07778615768599,0.3778206533581681,11.96383442599828,11.500008960797102
10,4.2,52.95956569624997,0.4355984735113226,4.422408529043567,0.0643371934610324,52.8449321781968,0.4568388381010306,6.117588963451058,10.218491105834328
11,4.3,75.68337194381668,0.3284844598972444,4.126958625612315,0.0498773017185522,75.67912635061467,0.3443728474752209,5.740449093709401,10.41471441228605
12,4.4,83.36232135861621,0.3002927402996637,4.230546408029594,0.0565953314492183,83.12265844562127,0.3153906257958974,5.28124253693359,10.964766146555416
13,4.5,93.64889834142478,0.2886695898158826,6.728573660278127,0.0592428235811154,92.83167882419924,0.3005695976841291,7.311724323085103,10.977704747701305
14,4.6,113.36459620282778,0.2970375773996717,8.678131071930697,0.0552450137964828,113.78165310903704,0.3112626290588453,8.14904257283279,10.887347083130718
15,4.7,70.10655812606466,0.2990542874525547,6.890475142571729,0.0637060072465706,70.8860111900733,0.312451302828546,8.75787513656803,10.8712155786603
